,ClassID,ExptID,Temp (deg C),RH (%),Oxygen (%),Illum (Nsuns),MA fraction,Bleach Rate (polyfit) (1/min),Bleach Rate (1% inc) (1/min),Bleach Rate (2% inc) (1/min),Bleach Rate (5% inc) (1/min),Bleach Rate (fit to 1% inc) (1/min),Bleach Rate (fit to 2% inc) (1/min),Bleach Rate (fit to 5% inc) (1/min),tLD75 (min),dLDdt (1/min),dPLdt (1/min),LD_0 (nm),PLQY_0,xy1t0_0,xy0t1_0,xy0t1Norm_0,xy1t1_0,t0xy1_0,t1xy0_0,frac_bright_0,ddTr0,ddPL0,ddLD0,tPLmax,tPLmax10,tPL10,TrFail,PLFail,PLEnhance,pred_horiz,Ld1,Ld2,Ld3,Ld4,Ld5,Tr1,Tr2,Tr3,Tr4,Tr5,PL1,PL2,PL3,PL4,PL5,QFLS_0,Tr_end,Tr_finished,Ld_2min,Ld_4min,Ld_6min,Ld_8min,Ld_10min,PL_2min,PL_4min,PL_6min,PL_8min,PL_10min,Tr_2min,Tr_4min,Tr_6min,Tr_8min,Tr_10min
0,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_8Sun_25C_60RH_21pctO2_Unencap,25,63.1,21,8,0,-0.000577082,0.000304775,0.000432453,0.000499509,0.000374581,0.000503839,0.000581215,,0.010816827,0.100707469,154.6569169,0.001705319,5.60E+18,3.86E+17,0.018818566,6.67E+16,5.54E+18,7.97E+17,0.286571503,6.47E-05,0.023067174,0.002941091,,,,,,,6,1.005917366,1.016227729,1.026275709,1.043904962,1.05545626,0.998777756,0.997410442,0.99804441,0.997481264,0.998253448,1.039836851,1.126385174,1.255257014,1.395827266,1.582176971,1.222813492,1.065097625,1,1.016227729,1.043904962,1.070874809,1.111086676,1.153108585,1.126385174,1.395827266,1.786517223,2.254873018,2.783160863,0.997410442,0.997481264,0.998565291,0.998421363,0.999056473
1,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_8Sun_85C_60RH_21pctO2_Unencap,85,63.1,21,8,0,0.010670273,0.01272027,0.01272027,0.012165801,0.01272027,0.01272027,0.011583301,92,0.008114145,0.218307521,133.26483,0.001263225,3.73E+18,3.04E+17,0.019933277,4.82E+16,3.61E+18,9.68E+17,0.338172913,-0.000597307,0.001111578,0.00079694,112,228,338,1.719829794,6.942293492,4.949305894,12,0.999712943,1.025825381,1.046424413,1.057785711,1.063407659,1.025440541,1.048871508,1.069411688,1.084717154,1.105352625,1.368862918,1.859021997,2.323938067,2.705537633,3.006719293,1.215055757,7.862843171,1,0.999712943,1.025825381,1.046424413,1.057785711,1.063407659,1.368862918,1.859021997,2.323938067,2.705537633,3.006719293,1.025440541,1.048871508,1.069411688,1.084717154,1.105352625
2,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_8Sun_85C_20RH_21pctO2_Unencap,85,24.8,21,8,0,0.008912406,0.009993429,0.009992481,0.009198103,0.009993429,0.009363426,0.009112667,32,0.002889535,0.495270448,132.5806716,0.000455489,2.20E+18,1.51E+17,0.030828457,3.82E+16,2.19E+18,2.06E+17,0.171039581,-0.000204017,-0.02295771,-0.000757075,62,238,,1.231344769,7.278045388,5.216467946,12,1.006645711,1.021380478,1.026416909,1.019009747,1.000829683,1.019986857,1.037453706,1.054928829,1.07165307,1.086230081,1.957787709,3.259412632,4.266671466,4.798262601,5.11851936,1.188685453,4.983281088,0,1.006645711,1.021380478,1.026416909,1.019009747,1.000829683,1.957787709,3.259412632,4.266671466,4.798262601,5.11851936,1.019986857,1.037453706,1.054928829,1.07165307,1.086230081
3,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_32Sun_85C_60RH_21pctO2_Unencap,85,58.6,21,32,0,0.008145426,0.009853165,0.008811088,0.007700969,0.00896391,0.008486676,0.007515909,17,0.008179099,0.839964515,146.3655047,0.000854835,1.01E+19,7.47E+17,0.018044961,1.22E+17,9.79E+18,2.33E+18,0.396846771,-0.000637142,0.068016417,-0.004293684,88,169,,1.127512362,9.267959391,6.049957079,6,1.012968913,1.030257931,1.035938331,1.029410786,1.013935251,1.00988007,1.017927819,1.025606338,1.032863995,1.039975694,1.562189861,2.49471947,3.430653996,4.26559051,5.061980868,1.240798545,6.281687426,0,1.030257931,1.029410786,0.991885362,0.941153826,0.88833425,2.49471947,4.26559051,5.763721329,6.852396506,7.609255136,1.017927819,1.032863995,1.046677379,1.060056302,1.073442671
4,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_8Sun_25C_60RH_21pctO2_Unencap_3,25,58.4,21,8,0,0.000540611,0.000515863,0.000307755,0.000222911,0.000540611,0.000280642,0.000196417,,0.010493281,0.097783123,166.5972092,0.017513013,1.29E+20,3.25E+18,0.017986215,1.25E+18,1.29E+20,7.37E+18,0.550186157,-7.49E-06,-0.004494087,-0.000103333,,,,,,,30,1.036212984,1.119682856,1.173640799,1.193618124,1.256877582,1.002284383,1.006791446,1.009047832,1.010133546,1.011128552,1.754421255,2.256594883,2.687370522,2.978103451,3.206712796,1.283027534,1.297624716,1,1.014485194,1.028970387,1.052906958,1.086294907,1.119682856,1.301768502,1.603537004,1.85485598,2.055725432,2.256594883,1.000913753,1.001827506,1.003185796,1.004988621,1.006791446
5,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_8Sun_85C_60RH_100pctO2_Unencap_3,85,60,100,8,0,0.006696749,0.007811043,0.007140844,0.006429308,0.00761135,0.007082148,0.006262919,10,-0.03073492,0.002258676,173.7810975,0.001079687,1.45E+18,2.85E+17,0.021305142,3.00E+16,1.45E+18,2.24E+17,0.090354919,-0.000506025,0.007580372,0.00122381,70,167,,1.065173541,0.968087209,0.974574099,6,0.966292281,0.935166231,0.90534827,0.876797408,0.847497298,1.007966543,1.0152227,1.02118844,1.026872797,1.032994576,0.967473166,0.988205619,0.99942525,0.995317339,0.981292013,1.210997089,5.692729016,0,0.935166231,0.876797408,0.823365259,0.776284006,0.743535072,0.988205619,0.995317339,0.963730216,0.947695642,0.968087209,1.0152227,1.026872797,1.038907221,1.051473827,1.065173541
6,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_8Sun_25C_60RH_100pctO2_Unencap,25,60.6,100,8,0,-0.000362356,7.26E-05,0.000108385,0.000186998,9.49E-05,0.000129499,0.000198456,243,0.002931688,0.038539737,216.3513114,0.018083705,1.75E+19,3.27E+18,0.014526346,3.54E+17,1.70E+19,4.97E+18,0.670894623,9.43E-05,-0.006965068,-0.000170226,465,831,,1.0394202,2.282573011,2.15549204,18,1.007465498,1.019569752,1.031003237,1.032206447,1.023218933,0.996825727,0.995427166,0.995035997,0.995459521,0.995772922,1.316675914,1.391800867,1.449344524,1.511761742,1.56512814,1.283856528,1.131903673,1,1.004976998,1.011500249,1.019569752,1.027192075,1.031404307,1.211117276,1.341717565,1.391800867,1.430163305,1.470150264,0.997883818,0.99635954,0.995427166,0.995166387,0.995177172
7,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_32Sun_85C_60RH_100pctO2_Unencap,85,60.6,100,32,0,0.012486679,0.009256061,0.010526305,0.012426331,0.010610021,0.010610021,0.013279176,5,-0.056831445,0.080135882,137.9602231,0.001659316,1.43E+19,1.32E+18,0.01619736,1.88E+17,1.42E+19,1.44E+18,0.609393775,0.001421846,-0.007989059,-0.00431257,32,69,80,1.065909932,1.417693599,1.177928291,6,0.965979357,0.894949409,0.832286626,0.782689139,0.748216986,1.009019395,1.021220041,1.034659089,1.049613548,1.065909932,1.110306816,1.195917191,1.255169265,1.328248185,1.417693599,1.25794488,6.098097086,0,0.894949409,0.782689139,0.725171931,0.712098133,0.732258534,1.195917191,1.328248185,1.501414711,1.585773931,1.685787612,1.021220041,1.049613548,1.083919776,1.123090293,1.165014677
8,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_32Sun_25C_60RH_100pctO2_Unencap,25,58.6,100,32,0,-0.00024671,0.000111373,0.000149079,0.000175833,7.02E-05,0.000218038,0.000216808,160,-0.002024477,0.003922864,144.2240274,0.027081933,1.35E+20,1.20E+19,0.008897204,1.38E+18,1.32E+20,2.92E+19,0.702148438,4.03E-05,8.83E-05,0.00027414,105,,,1.024553041,1.445254999,1.352554337,30,0.980865987,0.954273496,0.951221939,0.964210108,0.97389483,0.99545454,0.994012348,0.994465135,0.994326941,0.993819947,1.023661932,1.020555317,1.047588729,1.086108197,1.126501248,1.330135306,1.285475585,0,0.992346395,0.98469279,0.975547489,0.964910493,0.954273496,1.009464773,1.018929546,1.023040609,1.021797963,1.020555317,0.998181816,0.996363632,0.995166101,0.994589225,0.994012348
9,191203_Single_Sample_PL_PC_T_Combinatorial_Stress_Study,PL_PC_T_FAPIBr3_8Sun_25C_20RH_100pctO2_Unencap,25,26.1,100,8,0,-0.000155041,6.60E-05,0.000100824,0.000165097,8.52E-05,0.000116953,0.000180339,75,-0.007280734,-0.017357174,166.5560703,0.024333436,9.53E+19,4.68E+18,0.016400411,9.37E+17,9.51E+19,6.52E+18,0.49615097,2.20E-05,0.001464707,0.00011773,0,,,0.999264312,0.615958293,0.666215926,30,0.964703435,0.911904482,0.8798106,0.860428077,0.845798486,0.997738627,0.99702111,0.996654449,0.996666074,0.996701739,0.818657987,0.721781255,0.667795214,0.641502034,0.626479361,1.291530409,1.335315386,0,0.985881374,0.971762748,0.954143644,0.933024063,0.911904482,0.927463195,0.854926389,0.79928264,0.760531948,0.721781255,0.999095451,0.998190902,0.997595124,0.997308117,0.99702111
