,ClassID,ExptID,Temp (deg C),RH (%),Oxygen (%),Illum (Nsuns),MA fraction,Bleach Rate (polyfit) (1/min),Bleach Rate (1% inc) (1/min),Bleach Rate (2% inc) (1/min),Bleach Rate (5% inc) (1/min),Bleach Rate (fit to 1% inc) (1/min),Bleach Rate (fit to 2% inc) (1/min),Bleach Rate (fit to 5% inc) (1/min),tLD75 (min),dLDdt (1/min),dPLdt (1/min),LD_0 (nm),PLQY_0,xy1t0_0,xy0t1_0,xy0t1Norm_0,xy1t1_0,t0xy1_0,t1xy0_0,frac_bright_0,ddTr0,ddPL0,ddLD0,tPLmax,tPLmax10,tPL10,TrFail,PLFail,PLEnhance,pred_horiz,Ld1,Ld2,Ld3,Tr1,Tr2,Tr3,PL1,PL2,PL3,mu1,mu2,mu3,tau1,tau2,tau3,QFLS_0,Tr_end,Tr_finished,Ld_2min,Ld_4min,Ld_6min,Ld_8min,Ld_10min,PL_2min,PL_4min,PL_6min,PL_8min,PL_10min,Tr_2min,Tr_4min,Tr_6min,Tr_8min,Tr_10min,tLD80 (min),PL_LD80,Tr_LD80,dtaudt,dmudt,tau0,mu0,tLD75 corrected (min),tLD80 corrected (min),LD_0 corrected (nm),mu_LD80,tau_LD80,mu_LD75,tau_LD75,ddmu0,ddtau0,,,,,,,,,,,
0,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_40RH_65C_16Suns,65,41.3,21,16,1,0.001621175,,,,0.001532709,0.001532709,0.001584121,65,0.016874817,0.147932755,113.6825613,0.000433833,4.10E+18,2.41E+17,0.025796536,6.06E+16,4.11E+18,5.66036E+15,0.490921021,4.60E-05,-0.057089367,0.003578557,46,69,80,0.448706805,0.917219953,2.986833159,6,1.004628996,1.021687834,1.042245899,0.070532709,0.072099505,0.073758139,1.238138611,1.362098487,1.491187567,0.915957448,0.905962962,0.90344453,1.101884614,1.15219504,1.202372119,1.196708878,0.589212142,0,1.021687834,1.065565635,1.119376496,1.184870637,1.264185646,1.362098487,1.613139297,1.842066515,2.03970177,2.201160547,0.072099505,0.07549316,0.0791006,0.082950923,0.086942391,59,1.880239271,0.366980285,0.059700118,-0.019328776,7.820493201,3.16E-05,,,120.1183177,,,,,0.037024033,-0.025787094,,,,,,,,,,,
1,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_85C_32Suns,85,60.5,21,32,1,0.001559879,,,,0.001474115,0.001474115,0.00153854,40,-0.020039119,-0.092574984,93.00780914,0.000174014,3.89E+18,2.33E+17,0.031124406,8.06E+16,3.88E+18,3.17E+17,0.923286438,3.27E-05,0.369823081,0.002057334,55,,,0.228272317,0.434870825,0.535774058,6,0.977952125,0.947714264,0.931802113,0.070474115,0.072017759,0.073613919,0.322700781,0.385047724,0.429466648,1.532492999,1.333435559,1.228438124,0.624074863,0.673570103,0.706796021,1.191011685,0.602372855,0,0.947714264,0.92287941,0.922430945,0.934978055,0.954335644,0.385047724,0.483742147,0.527447353,0.56181567,0.574900766,0.072017759,0.075229492,0.078531372,0.081954227,0.085470531,39,0.4261353,0.210341682,-0.042778455,-0.001681844,5.77489417,2.69E-05,40,39,97.89259994,0.694829045,0.88735434,0.592442768,0.926131054,-0.365775219,0.212710188,,,,,,,,,,,
2,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_40RH_85C_32Suns_2,85,39.5,21,32,1,0.002031185,,,,0.002016283,0.002016283,0.002015331,29,0.014410924,0.106958534,108.8203945,0.000101383,1.92E+18,1.63E+17,0.034427323,3.36E+16,1.93E+18,1.12E+16,0.326667786,3.00E-05,-0.046234773,7.36E-05,35,41,,0.220180331,2.046508421,1.756264878,6,1.016345015,1.027774965,1.041906749,0.071016283,0.073030663,0.075021544,1.198940549,1.305411552,1.385262709,0.954454229,0.939001806,0.93845562,1.082249058,1.124940732,1.156761865,1.177045791,0.618654391,1,1.027774965,1.059273755,1.098101418,1.135895822,1.169077468,1.305411552,1.441631591,1.512641484,1.570611011,1.635038936,0.073030663,0.077153294,0.081377081,0.08575401,0.090252902,28,2.145851154,0.200160991,0.043467044,-0.011432751,4.605516277,4.58E-05,29,29,114.0792539,0.318561811,1.744321408,0.318561811,1.744321408,0.015046675,-0.019778692,,,,,,,,,,,
3,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_85C_32Suns_2,85,59.3,21,32,1,0.002267232,,,,0.001977464,0.001977464,0.002137309,44,-0.021004741,0.138327733,103.1983334,0.000173686,2.85E+18,2.10E+17,0.02733217,4.75E+16,2.84E+18,2.19E+17,0.565643311,0.000100848,-0.01906772,-0.001561822,5,58,,0.297404427,0.588999456,1.097442586,6,0.989351461,0.961840323,0.938401921,0.070977464,0.073274617,0.075622581,1.190899247,1.343663053,1.48517265,0.907034079,0.812198167,0.738700873,1.079139511,1.13905306,1.192090326,1.190963008,0.541198743,0,0.961840323,0.920451065,0.917031922,0.936171369,0.973461749,1.343663053,1.544501965,1.538224718,1.502495895,1.441444694,0.073274617,0.0780136,0.082882924,0.087945492,0.093150386,42,0.555050784,0.266929312,0.054543188,-0.077513813,5.770341756,3.29E-05,47,45,108.3169936,0.469065619,1.277620539,0.379099236,1.419707083,-0.000934996,-0.009612981,,,,,,,,,,,
4,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_20RH_85C_32Suns,85,24.8,21,32,1,0.001522743,,,,0.001500441,0.001500441,0.001458815,49,-0.021298176,-0.130374195,99.52461429,0.000279917,7.84E+18,3.12E+17,0.027874118,1.18E+17,7.84E+18,1.33E+17,0.988880157,2.61E-05,0.277967947,-0.001745501,0,73,73,0.292111092,0.178865308,0.337482514,6,0.989820608,0.956728448,0.936762153,0.070500441,0.071749412,0.073446393,0.375409843,0.30675558,0.329699252,1.473463117,1.495269183,1.387273317,0.664926611,0.612150195,0.632552591,1.203300567,0.695886664,1,0.956728448,0.920038349,0.925191415,0.933380366,0.944016282,0.30675558,0.37098432,0.444949071,0.474509985,0.477470423,0.071749412,0.075140739,0.078573564,0.082165076,0.086116663,45,0.193980293,0.247899364,-0.069975482,0.045458274,7.047094386,2.51E-05,,48,104.5556805,0.899702123,0.709637927,,,-0.225828525,0.141148487,,,,,,,,,,,
5,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_25C_8Suns,25,59.5,21,8,1,0.001095515,,,,0.000611414,0.001024927,0.001024927,116,0.003658629,-0.006857584,97.76502172,0.000294894,6.66E+17,1.51E+17,0.041887181,2.14E+16,6.78E+17,7.56E+16,0.009616852,7.50E-05,0.032516466,0.001371397,220,260,516,0.247118706,15.28176358,7.11571567,12,0.986475656,0.998842897,1.010903233,0.070222829,0.073099707,0.075199275,0.757001556,0.774134839,0.822124209,1.11753605,1.128357928,1.118023791,0.870785529,0.884193843,0.914046154,1.168809769,0.553530224,1,0.986475656,0.998842897,1.010903233,1.024372503,1.037162056,0.757001556,0.774134839,0.822124209,0.898862832,0.991590644,0.070222829,0.073099707,0.075199275,0.077466923,0.07984746,110,14.43706135,0.237520491,-0.001929508,0.009436003,2.905611721,7.51E-05,120,116,105.913249,0.121034845,5.243488662,0.103790395,5.402354709,-0.013339272,0.017827848,,,,,,,,,,,
6,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_80RH_85C_32Suns,85,80.6,21,32,1,0.002529923,,,,0.00234861,0.00234861,0.002438726,43,0.002496279,0.532697468,94.2885938,8.65E-05,1.75E+18,1.52E+17,0.041622706,4.06E+16,1.76E+18,1.16E+17,0.839962006,7.03E-05,0.062796217,-0.001867709,30,41,,0.494116059,0.391714566,3.706529165,6,1.015309633,1.010379048,1.008871942,0.07134861,0.073877451,0.076456167,1.481249575,2.088091585,2.619709003,0.871343641,0.744453059,0.672323647,1.183062116,1.371296429,1.513887844,1.172954842,0.626088742,0,1.010379048,1.015700242,1.048369395,1.098508344,1.164792613,2.088091585,3.094257627,3.716023884,4.156320868,4.332515855,0.073877451,0.079095838,0.084657989,0.090560973,0.096854816,41,0.491942493,0.458820884,0.159038844,-0.093302566,4.310165133,3.70E-05,,,99.20112875,,,,,0.000882888,0.002586099,,,,,,,,,,,
7,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_0RH_85C_32Suns,85,0,21,32,1,0.00216754,,,,0.001695002,0.001695002,0.001918869,37,0.006884799,0.220625338,118.4145779,0.000126431,1.71E+18,2.82E+17,0.045833067,6.07E+16,1.71E+18,3.01E+17,0.999996185,0.000176529,-0.27654141,-0.010263638,3,,,0.24011414,0.62069706,0.994017714,6,1.040421941,1.062777867,1.04877751,0.070695002,0.072837739,0.07516481,1.778649939,2.004217057,2.020942917,0.848320279,0.839260738,0.811577764,1.276024919,1.345823464,1.355303599,1.182753615,0.749178787,1,1.062777867,1.03024621,0.999075623,0.97758687,0.963214739,2.004217057,1.981980203,1.793742206,1.566617823,1.321413399,0.072837739,0.077602795,0.082659043,0.087885339,0.093195925,35,0.561070776,0.214502364,0.077789365,-0.046348028,5.051719806,4.92E-05,37,35,123.9271855,0.628519973,1.003568849,0.486935197,1.100235135,0.071310091,-0.103113187,,,,,,,,,,,
8,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_80RH_25C_8Suns_2,25,80.5,21,8,1,0.001953197,,,,0.000947472,0.000947472,0.001329048,32,0.003050473,0.179317838,111.0848373,0.000828883,5.87E+18,2.32E+17,0.027002034,7.35E+16,5.82E+18,4.58E+17,0.47964859,0.000188713,0.068170997,0.000724371,78,194,,0.172459528,82.89236715,24.11220361,12,0.98012292,0.982770251,1.012495533,0.070894943,0.074316193,0.079183871,1.002918226,1.551204427,1.513216169,0.956702827,0.768684455,0.820488361,1.004116338,1.256480942,1.249435402,1.195526714,0.473575286,1,0.98012292,0.982770251,1.012495533,1.01431842,0.937102443,1.002918226,1.551204427,1.513216169,2.538029405,3.626383599,0.070894943,0.074316193,0.079183871,0.084387504,0.08988335,24,52.0017344,0.143692955,0.075539585,-0.043797373,4.8871001,5.66E-05,30,24,119.1989337,0.077129556,8.148179478,0.053761589,10.30320336,-0.01809015,0.031031033,,,,,,,,,,,
9,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_40RH_25C_8Suns,25,45.8,21,8,1,9.09E-05,,,,8.27E-05,9.51E-05,9.68E-05,249,0.001571763,0.082926543,111.8779965,0.000670061,9.44E+17,2.11E+17,0.025385437,2.45E+16,8.30E+17,4.81E+17,0.646087646,6.07E-06,-0.000872292,0.001213453,354,,,0.183326357,17.13609603,,18,0.958777607,0.971753783,0.99280731,0.069116864,0.069422627,0.069724895,1.264265721,1.512830191,1.759269587,0.816823418,0.766303525,0.741070905,1.125401746,1.232286402,1.330056744,1.19002775,0.482168409,0,0.972518405,0.963102999,0.971753783,0.985789467,0.997392069,1.176177148,1.347120545,1.512830191,1.677123122,1.838311796,0.069077909,0.069218785,0.069422627,0.069624139,0.069836516,243,16.15435939,0.175124732,0.03469398,-0.021560932,4.391102453,6.38E-05,249,246,119.9938024,0.118853554,4.847324084,0.101174496,4.967318865,0.007369816,-0.001028727,,,,,,,,,,,
10,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_0RH_25C_8Suns_2,25,0,21,8,1,4.81E-06,,,,1.38E-05,1.29E-05,1.21E-05,1020,0.0101792,0.026827712,84.63911609,0.000177591,1.08E+18,1.09E+17,0.057584889,2.81E+16,1.08E+18,1.13E+17,0.269931793,2.26E-06,0.004408916,0.000651749,,,,0.11038003,,,30,0.981496964,1.052788214,1.125756246,0.068766954,0.068841171,0.068996214,0.953127802,1.126701407,1.314828879,0.98720715,1.044027638,1.104296087,0.975819807,1.061622302,1.147633448,1.155699421,0.156035099,0,0.992598786,0.985197571,0.995755214,1.024271714,1.052788214,0.981251121,0.962502241,0.987842523,1.057271965,1.126701407,0.068906781,0.068813563,0.068781797,0.068811484,0.068841171,800,,0.091370208,0.012321053,0.008096792,2.251271721,7.47E-05,915,740,92.97086083,,,,,0.001392267,0.002199654,,,,,,,,,,,
11,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_20RH_25C_8Suns,25,25.7,21,8,1,6.28E-05,,,,6.93E-05,7.50E-05,8.32E-05,258,0.001457289,0.076040618,100.953709,0.000873347,3.84E+18,2.45E+17,0.024119264,4.96E+16,3.82E+18,4.35E+17,0.49835968,8.03E-06,0.00326306,0.000933598,333,366,516,0.209558601,21.71058732,8.779682933,18,0.987074327,0.982403827,0.990273277,0.068915086,0.069076131,0.069436686,1.19174265,1.442220388,1.67764994,0.892117638,0.802642337,0.755430045,1.092138174,1.202425083,1.298123062,1.196877573,0.490589522,1,0.991382885,0.985517494,0.982403827,0.987650127,1.000268805,1.127828434,1.27523523,1.442220388,1.599173423,1.750985167,0.068943391,0.068968768,0.069076131,0.069316501,0.069518095,252,20.67538751,0.200590333,0.032307505,-0.020995405,5.017285315,4.61E-05,258,255,109.0818871,0.103739962,5.728554738,0.093788442,5.849543454,0.001022615,0.001008263,,,,,,,,,,,
12,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_45C_8Suns,45,53.9,21,8,1,0.000162414,,,,0.000190365,0.000179792,0.000168639,424.5,0.007828017,0.087534935,82.74801341,0.000868723,5.80E+18,2.39E+17,0.028002031,7.81E+16,5.78E+18,3.67E+17,0.676464081,-2.64E-05,-0.010282121,0.006574416,,,,0.180225113,13.83841142,,9,0.954507819,0.986748427,1.010383621,0.069342322,0.06961622,0.069860525,1.174702248,1.303134951,1.422223482,0.844063198,0.858641151,0.863599336,1.079403981,1.133969014,1.182116543,1.196740341,0.30053621,1,0.965254688,1.002505223,1.030772227,1.05674288,1.048104783,1.217513149,1.382527305,1.532751399,1.668045506,1.788563748,0.069433621,0.06977909,0.069959002,0.070504558,0.070738707,379.5,12.98742138,0.166272172,0.036814051,-0.016361913,9.144929942,1.67E-05,450,390,91.46821907,0.160606058,3.948637717,0.132045959,4.199022511,0.037892168,-0.005519767,,,,,,,,,,,
13,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_85C_8Suns_2,85,55.1,21,8,1,0.001562511,,,,0.001475733,0.001475733,0.001481277,,0.017680333,0.119971603,88.32783028,0.000107534,7.11E+17,8.58E+16,0.084594583,2.31E+16,7.14E+17,5.74E+16,0.405303955,3.96E-05,0.010017282,0.00256048,73.5,102,,,,,9,1.006080571,1.036869379,1.068471207,0.071213599,0.073443831,0.07581765,1.170859817,1.386797401,1.553644669,0.944320623,0.93120434,0.939482693,1.07187971,1.154524375,1.215169507,1.142730158,0.575117069,0,1.016343507,1.057937265,1.101407181,1.147751464,1.197683674,1.242839012,1.498028913,1.708394597,1.89083394,2.052738058,0.07195701,0.075026377,0.078416805,0.081661718,0.085277212,114,0.421743882,0.55541978,0.045485763,-0.006246185,10.56548361,1.46E-05,,,97.56560847,,,,,0.009458466,0.002392212,,,,,,,,,,,
14,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_65C_8Suns,65,54.3,21,8,1,0.000582241,,,,0.000563261,0.000563261,0.000611446,,0.002004457,0.155493349,104.6410705,0.000264253,1.46E+18,1.31E+17,0.045828853,3.31E+16,1.46E+18,9.88E+16,0.514690399,9.97E-05,-0.041751919,0.00161886,145.5,181.5,,,,,9,0.990386529,0.992549459,1.000456466,0.069401469,0.070689782,0.071273028,1.412740717,1.637597797,1.812967624,0.840975971,0.789581126,0.766150939,1.166341858,1.247692474,1.306417691,1.165973541,0.530713667,0,0.991107505,0.997820797,1.009998462,1.025427399,1.041010541,1.487693077,1.754511015,1.966086665,2.087652512,2.20799488,0.069830906,0.071078613,0.072431029,0.07384135,0.075258678,,0.421743882,,0.056883273,-0.038060531,9.230303449,2.39E-05,,,113.3148078,,,,,0.023917597,-0.018886942,,,,,,,,,,,
15,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_45C_8Suns_2,45,60,21,8,1,0.000170284,,,,0.000169769,0.000171456,0.000181567,290,0.002569707,0.003272892,94.30345262,0.000481702,2.12E+18,1.77E+17,0.031689679,3.62E+16,2.12E+18,2.15E+17,0.455615997,1.85E-06,-0.007977514,0.002391601,364,502,,0.195851328,16.57178098,6.835419398,12,0.96302737,0.984933131,1.000246271,0.069261864,0.069602566,0.070018227,1.038467436,1.013114763,1.017862065,0.910719745,0.963317431,0.990724587,1.018339309,1.007033862,1.009859466,1.181495515,0.608624186,1,0.96302737,0.984933131,1.000246271,1.007087622,1.00896169,1.038467436,1.013114763,1.017862065,1.043031604,1.079776454,0.069261864,0.069602566,0.070018227,0.070324663,0.070679578,280,15.74372009,0.187825398,0.001776801,0.003238756,6.925161899,2.78E-05,290,282,102.791044,0.143498687,4.459444105,0.122359972,4.592248438,0.017734743,-0.003705595,,,,,,,,,,,
